000000	Officially Xerox
000997	Nortel Networks
000998	Capinfo Company Limited
000999	Cp Georges Renault
00099A	Elmo Company
00099B	Western Telematic Inc.
00099C	Naval Research Laboratory
00099D	Haliplex Communications
00099E	Testech
00099F	Videx Inc.
0009A0	Microtechno Corporation
0009A1	Telewise Communications
0009A2	Interface Co.
0009A3	Leadfly Techologies Corp. Ltd.
0009A4	HARTEC Corporation
0009A5	Hansung Eletronic Industries Development Co.
0009A6	Ignis Optics
0009A7	Bang & Olufsen A/S
0009A8	Eastmode Pte Ltd
0009A9	Ikanos Communications
0009AA	Data Comm for Business
0009AB	Netcontrol Oy
0009AD	Hyundai Syscomm
0009AE	Okano Electric Co.
0009AF	e-generis
0009B0	Onkyo Corporation
0009B1	Kanematsu Electronics
0009B2	L&F Inc.
0009B3	MCM Systems Ltd
0009B4	Kisan Telecom Co.
0009B5	3J Tech. Co.
0009B6	Cisco Systems
0009B7	Cisco Systems
0009B8	Entise Systems
0009B9	Action Imaging Solutions
0009BA	MAKU Informationstechik GmbH
0009BB	MathStar
0009BC	Utility
0009BD	Epygi Technologies
0009BE	Mamiya-OP Co.
0009BF	Nintendo Co.
0009C1	Proces-Data A/S
0009C2	Onity
0009C4	Medicore Co.
0009C5	KINGENE Technology Corporation
0009C6	Visionics Corporation
0009C8	Sinagawa Tsushin Keisou Service
0009C9	BlueWINC Co.
0009CA	iMaxNetworks(Shenzhen)Limited.
0009CC	Moog GmbH
0009CD	Hudson Soft Co.
0009CE	SpaceBridge Semiconductor Corp.
0009CF	iAd GmbH
0009D0	Solacom Technologies Inc.
0009D1	Seranoa Networks Inc
0009D2	Mai Logic Inc.
0009D3	Western DataCom Co.
0009D4	Transtech Networks
0009D5	Signal Communication
0009D6	KNC One GmbH
0009D7	DC Security Products
0009D8	Fält Communications AB
0009D9	Neoscale Systems
0009DA	Control Module Inc.
0009DC	Galaxis Technology AG
0009DD	Mavin Technology Inc.
0009DE	Samjin Information & Communications Co.
0009DF	Vestel Elektronik San ve Tic. A.Ş.
0009E0	Xemics S.A.
0009E1	Gemtek Technology Co.
0009E2	Sinbon Electronics Co.
0009E3	Angel Iglesias S.A.
0009E4	K Tech Infosystem Inc.
0009E5	Hottinger Baldwin Messtechnik GmbH
0009E6	Cyber Switching Inc.
0009E7	ADC Techonology
0009E8	Cisco Systems
0009E9	Cisco Systems
0009EA	YEM Inc.
0009EB	HuMANDATA LTD.
0009EC	Daktronics
0009ED	CipherOptics
0009EE	Meikyo Electric Co.
0009EF	Vocera Communications
0009F0	Shimizu Technology Inc.
0009F1	Yamaki Electric Corporation
0009F2	Cohu
0009F3	WELL Communication Corp.
0009F4	Alcon Laboratories
0009F5	Emerson Network Power Co.
0009F6	Shenzhen Eastern Digital Tech Ltd.
0009F7	SED
0009F8	Unimo Technology Co.
0009F9	Art Japan Co.
0009FB	Philips Patient Monitoring
0009FC	IPFLEX Inc.
0009FD	Ubinetics Limited
0009FE	Daisy Technologies
0009FF	X.net 2000 GmbH
000A00	Mediatek Corp.
000A01	SOHOware
000A02	Annso Co.
000A03	Endesa Servicios
000A04	3Com Ltd
000A05	Widax Corp.
000A06	Teledex LLC
000A07	WebWayOne Ltd
000A08	Alpine Electronics
000A09	TaraCom Integrated Products
000A0A	SUNIX Co.
000A0B	Sealevel Systems
000A0C	Scientific Research Corporation
000A0D	FCI Deutschland GmbH
000A0E	Invivo Research Inc.
000A0F	Ilryung Telesys
000A10	FAST media integrations AG
000A11	ExPet Technologies
000A12	Azylex Technology
000A13	Honeywell Video Systems
000A14	TECO a.s.
000A15	Silicon Data
000A16	Lassen Research
000A17	Nestar Communications
000A18	Vichel Inc.
000A19	Valere Power
000A1A	Imerge Ltd
000A1B	Stream Labs
000A1C	Bridge Information Co.
000A1D	Optical Communications Products Inc.
000A1E	Red-M Products Limited
000A1F	ART WARE Telecommunication Co.
000A20	SVA Networks
000A21	Integra Telecom Co. Ltd
000A22	Amperion Inc
000A23	Parama Networks Inc
000A24	Octave Communications
000A25	Ceragon Networks
000A26	CEIA S.p.A.
000A27	Apple
000A29	Pan Dacom Networking AG
000A2A	QSI Systems Inc.
000A2B	Etherstuff
000A2C	Active Tchnology Corporation
000A2D	Cabot Communications Limited
000A2E	Maple Networks Co.
000A2F	Artnix Inc.
000A30	Visteon Corporation
000A31	HCV Consulting
000A32	Xsido Corporation
000A33	Emulex Corporation
000A34	Identicard Systems Incorporated
000A36	Synelec Telecom Multimedia
000A37	Procera Networks
000A38	Apani Networks
000A39	LoPA Information Technology
000A3A	J-THREE INTERNATIONAL Holding Co.
000A3B	GCT Semiconductor
000A3C	Enerpoint Ltd.
000A3D	Elo Sistemas Eletronicos S.A.
000A3E	EADS Telecom
000A3F	Data East Corporation
000A40	Crown Audio -- Harmanm International
000A41	Cisco Systems
000A42	Cisco Systems
000A43	Chunghwa Telecom Co.
000A44	Avery Dennison Deutschland GmbH
000A45	Audio-Technica Corp.
000A46	Aro Welding Technologies Sas
000A47	Allied Vision Technologies
000A48	Albatron Technology
000A49	F5 Networks
000A4A	Targa Systems Ltd.
000A4B	DataPower Technology
000A4C	Molecular Devices Corporation
000A4D	Noritz Corporation
000A4E	UNITEK Electronics INC.
000A4F	Brain Boxes Limited
000A50	Remotek Corporation
000A51	GyroSignal Technology Co.
000A52	AsiaRF Ltd.
000A53	Intronics
000A54	Laguna Hills
000A55	MARKEM Corporation
000A56	HITACHI Maxell Ltd.
000A57	Hewlett Packard
000A58	Freyer & Siegel Elektronik GmbH & Co. KG
000A59	HW server
000A5A	GreenNET Technologies Co.
000A5B	Power-One as
000A5C	Carel s.p.a.
000A5D	FingerTec Worldwide Sdn Bhd
000A5F	almedio inc.
000A60	Autostar Technology Pte Ltd
000A61	Cellinx Systems Inc.
000A62	Crinis Networks
000A63	DHD GmbH
000A64	Eracom Technologies
000A65	GentechMedia.co.
000A66	Mitsubishi Electric System & Service Co.
000A68	Solarflare Communications Inc
000A69	SUNNY bell Technology Co.
000A6A	SVM Microwaves s.r.o.
000A6B	Tadiran Telecom Business Systems LTD
000A6C	Walchem Corporation
000A6D	EKS Elektronikservice GmbH
000A6E	Harmonic
000A6F	ZyFLEX Technologies Inc
000A70	MPLS Forum
000A71	Avrio Technologies
000A72	Stec
000A73	Scientific Atlanta
000A74	Manticom Networks Inc.
000A75	Caterpillar
000A76	Beida Jade Bird Huaguang Technology Co.
000A77	Bluewire Technologies LLC
000A79	corega K.K
000A7A	Kyoritsu Electric Co.
000A7B	Cornelius Consult
000A7C	Tecton Ltd
000A7D	Valo
000A7E	The Advantage Group
000A7F	Teradon Industries
000A80	Telkonet Inc.
000A81	TEIMA Audiotex S.L.
000A82	Tatsuta System Electronics Co.
000A83	Salto Systems S.L.
000A84	Rainsun Enterprise Co.
000A85	PLAT'C2
000A87	Integrated Micromachines Inc.
000A88	InCypher S.A.
000A89	Creval Systems
000A8A	Cisco Systems
000A8B	Cisco Systems
000A8C	Guardware Systems Ltd.
000A8D	Eurotherm Limited
000A8E	Invacom Ltd
000A8F	Aska International Inc.
000A90	Bayside Interactive
000A91	HemoCue AB
000A92	Presonus Corporation
000A93	W2 Networks
000A94	ShangHai cellink CO.
000A95	Apple
000A96	Mewtel Technology Inc.
000A97	SONICblue
000A98	M+F Gwinner GmbH & Co
000A99	Calamp Wireless Networks Inc
000A9A	Aiptek International Inc
000A9B	TB Group Inc
000A9C	Server Technology
000A9D	King Young Technology Co. Ltd.
000A9E	BroadWeb Corportation
000A9F	Pannaway Technologies
000AA0	Cedar Point Communications
000AA1	V V S Limited
000AA2	Systek Inc.
000AA3	Shimafuji Electric Co.
000AA4	Shanghai Surveillance Technology Co
000AA5	Maxlink Industries Limited
000AA6	Hochiki Corporation
000AA7	FEI Electron Optics
000AA8	ePipe Pty. Ltd.
000AA9	Brooks Automation GmbH
000AAA	AltiGen Communications Inc.
000AAB	Toyota Technical Development Corporation
000AAC	TerraTec Electronic GmbH
000AAD	Stargames Corporation
000AAE	Rosemount Process Analytical
000AAF	Pipal Systems
000AB0	LOYTEC electronics GmbH
000AB1	GENETEC Corporation
000AB2	Fresnel Wireless Systems
000AB3	Fa. GIRA
000AB4	ETIC Telecommunications
000AB5	Digital Electronic Network
000AB6	Compunetix
000AB7	Cisco Systems
000AB8	Cisco Systems
000AB9	Astera Technologies Corp.
000ABA	Arcon Technology Limited
000ABB	Taiwan Secom Co
000ABC	Seabridge Ltd.
000ABD	Rupprecht & Patashnick Co.
000ABE	OPNET Technologies CO.
000ABF	Hirota Ss
000AC0	Fuyoh Video Industry CO.
000AC1	Futuretel
000AC2	Wuhan FiberHome Digital Technology Co.
000AC3	eM Technics Co.
000AC4	Daewoo Teletech Co.
000AC5	Color Kinetics
000AC6	Overture Networks.
000AC7	Unication Group
000AC8	ZPSYS CO.
000AC9	Zambeel Inc
000ACA	YOKOYAMA SHOKAI CO.
000ACB	XPAK MSA Group
000ACC	Winnow Networks
000ACD	Sunrich Technology Limited
000ACE	Radiantech
000ACF	PROVIDEO Multimedia Co. Ltd.
000AD0	Niigata Develoment Center
000AD2	JEPICO Corporation
000AD3	INITECH Co.
000AD4	CoreBell Systems Inc.
000AD5	Brainchild Electronic Co.
000AD6	BeamReach Networks
000AD7	Origin ELECTRIC CO.
000AD8	IPCserv Technology Corp.
000AD9	Sony Mobile Communications Inc
000ADA	Vindicator Technologies
000ADB	Trilliant
000ADC	RuggedCom Inc.
000ADD	Allworx Corp.
000ADE	Happy Communication Co.
000ADF	Gennum Corporation
000AE0	Fujitsu Softek
000AE1	EG Technology
000AE2	Binatone Electronics International
000AE3	Yang Mei Technology Co.
000AE4	Wistron Corporation
000AE5	ScottCare Corporation
000AE6	Elitegroup Computer Systems Co.
000AE7	Eliop S.A.
000AE8	Cathay Roxus Information Technology Co. LTD
000AE9	AirVast Technology Inc.
000AEA	Adam Elektronik Ltd. Şti
000AEB	Tp-Link Technologies Co.
000AEC	Koatsu Gas Kogyo Co.
000AED	HARTING Electronics GmbH
000AEE	GCD Hard- & Software GmbH
000AEF	Otrum Asa
000AF0	Shin-Oh Electronics Co.
000AF1	Clarity Design
000AF2	NeoAxiom Corp.
000AF3	Cisco Systems
000AF4	Cisco Systems
000AF5	Airgo Networks
000AF6	Emerson Climate Technologies Retail Solutions
000AF8	American Telecare Inc.
000AF9	HiConnect
000AFA	Traverse Technologies Australia
000AFB	Ambri Limited
000AFC	Core Tec Communications
000AFD	Kentec Electronics
000AFE	NovaPal Ltd
000AFF	Kilchherr Elektronik AG
000B00	Fujian Start Computer Equipment Co.
000B01	Daiichi Electronics Co.
000B02	Dallmeier electronic
000B03	Taekwang Industrial Co.
000B04	Volktek Corporation
000B05	Pacific Broadband Networks
000B06	ARRIS Group
000B07	Voxpath Networks
000B08	Pillar Data Systems
000B09	Ifoundry Systems Singapore
000B0A	dBm Optics
000B0B	Corrent Corporation
000B0C	Agile Systems Inc.
000B0D	Air2U
000B0E	Trapeze Networks
000B0F	Bosch Rexroth
000B10	11wave Technonlogy Co.
000B11	Himeji Abc Trading Co.
000B12	NURI Telecom Co.
000B13	Zetron Inc
000B14	ViewSonic Corporation
000B15	Platypus Technology
000B16	Communication Machinery Corporation
000B17	MKS Instruments
000B19	Vernier Networks
000B1A	Industrial Defender
000B1B	Systronix
000B1C	SIBCO bv
000B1D	LayerZero Power Systems
000B1E	KAPPA opto-electronics GmbH
000B1F	I CON Computer Co.
000B20	Hirata corporation
000B21	G-Star Communications Inc.
000B22	Environmental Systems and Services
000B23	Siemens Home & Office Comm. Devices
000B26	Wetek Corporation
000B27	Scion Corporation
000B28	Quatech Inc.
000B29	LS(LG) Industrial Systems co.
000B2A	HOWTEL Co.
000B2B	Hostnet Corporation
000B2C	Eiki Industrial Co. Ltd.
000B2D	Danfoss Inc.
000B2E	Cal-Comp Electronics & Communications Company Ltd.
000B2F	bplan GmbH
000B30	Beijing Gongye Science & Technology Co.
000B31	Yantai ZhiYang Scientific and technology industry CO.
000B32	Vormetric
000B33	Vivato Technologies
000B34	ShangHai Broadband Technologies CO.LTD
000B35	Quad Bit System co.
000B36	Productivity Systems
000B37	Manufacture Des Montres Rolex Sa
000B38	Knürr GmbH
000B39	Keisoku Giken Co.
000B3A	QuStream Corporation
000B3B	devolo AG
000B3C	Cygnal Integrated Products
000B3D	CONTAL OK Ltd.
000B3E	BittWare
000B3F	Anthology Solutions Inc.
000B41	Ing. Büro Dr. Beutlhauser
000B42	commax Co.
000B43	Microscan Systems
000B44	Concord IDea Corp.
000B45	Cisco Systems
000B46	Cisco Systems
000B47	Advanced Energy
000B49	RF-Link System Inc.
000B4A	Visimetrics (UK) Ltd
000B4B	Visiowave Sa
000B4C	Clarion (M) Sdn Bhd
000B4E	VertexRSI
000B51	Micetek International Inc.
000B52	Joymax Electronics Co. Ltd.
000B53	INITIUM Co.
000B54	BiTMICRO Networks
000B55	ADInstruments
000B56	Cybernetics
000B57	Silicon Laboratories
000B58	Astronautics C.A LTD
000B59	ScriptPro
000B5A	HyperEdge
000B5B	Rincon Research Corporation
000B5C	Newtech Co.
000B5D	Fujitsu Limited
000B5E	Audio Engineering Society Inc.
000B5F	Cisco Systems
000B60	Cisco Systems
000B61	Friedrich Lütze GmbH & Co. KG
000B62	ib-mohnen KG
000B63	Kaleidescape
000B64	Kieback & Peter GmbH & Co KG
000B65	Sy.A.C. srl
000B66	Teralink Communications
000B67	Topview Technology Corporation
000B68	Addvalue Communications Pte Ltd
000B69	Franke Finland Oy
000B6A	Asiarock Technology Limited
000B6B	Wistron Neweb Corporation
000B6C	Sychip Inc.
000B6D	Solectron Japan Nakaniida
000B6E	Neff Instrument Corp.
000B6F	Media Streaming Networks Inc
000B70	Load Technology
000B71	Litchfield Communications Inc.
000B72	Lawo AG
000B73	Kodeos Communications
000B74	Kingwave Technology Co.
000B75	Iosoft Ltd.
000B76	ET&T Technology Co. Ltd.
000B77	Cogent Systems
000B78	Taifatech Inc.
000B79	X-COM
000B7A	L-3 Linkabit
000B7B	Test-Um Inc.
000B7C	Telex Communications
000B7D	Solomon Extreme International Ltd.
000B7E	SAGINOMIYA Seisakusho Inc.
000B7F	Align Engineering LLC
000B80	Lycium Networks
000B81	Kaparel Corporation
000B82	Grandstream Networks
000B83	Datawatt B.V.
000B85	Cisco Systems
000B86	Aruba
000B87	American Reliance Inc.
000B88	Vidisco ltd.
000B89	Top Global Technology
000B8A	MITEQ Inc.
000B8B	Kerajet
000B8C	Flextronics
000B8D	Avvio Networks
000B8E	Ascent Corporation
000B8F	Akita Electronics Systems Co.
000B90	ADVA Optical Networking Ltd.
000B91	Aglaia Gesellschaft für Bildverarbeitung und Kommunikation mbH
000B92	Ascom Danmark A/S
000B93	Ritter Elektronik
000B94	Digital Monitoring Products
000B95	eBet Gaming Systems Pty Ltd
000B96	Innotrac Diagnostics Oy
000B97	Matsushita Electric Industrial Co.
000B98	NiceTechVision
000B99	SensAble Technologies
000B9A	Shanghai Ulink Telecom Equipment Co. Ltd.
000B9B	Sirius System Co
000B9C	TriBeam Technologies
000B9D	TwinMOS Technologies Inc.
000B9E	Yasing Technology Corp.
000B9F	Neue ELSA GmbH
000BA0	T&L Information Inc.
000BA1	Fujikura Solutions Ltd.
000BA2	Sumitomo Electric Industries
000BA3	Siemens AG
000BA4	Shiron Satellite Communications Ltd. (1996)
000BA5	Quasar Cipta Mandiri
000BA6	Miyakawa Electric Works Ltd.
000BA7	Maranti Networks
000BA8	Hanback Electronics Co.
000BA9	CloudShield Technologies
000BAA	Aiphone co.
000BAB	Advantech Technology (CHINA) Co.
000BAC	3Com Ltd
000BAD	PC-PoS Inc.
000BAE	Vitals System Inc.
000BAF	WOOJU COMMUNICATIONS Co
000BB0	Sysnet Telematica srl
000BB1	Super Star Technology Co.
000BB2	Smallbig Technology
000BB3	RiT technologies Ltd.
000BB4	RDC Semiconductor Inc.
000BB5	nStor Technologies
000BB6	Metalligence Technology Corp.
000BB7	Micro Systems Co.
000BB8	Kihoku Electronic Co.
000BB9	Imsys AB
000BBA	Harmonic
000BBB	Etin Systems Co.
000BBC	En Garde Systems
000BBD	Connexionz Limited
000BBE	Cisco Systems
000BBF	Cisco Systems
000BC0	China IWNComm Co.
000BC1	Bay Microsystems
000BC2	Corinex Communication Corp.
000BC3	Multiplex
000BC4	BIOTRONIK GmbH & Co
000BC5	SMC Networks
000BC6	ISAC
000BC7	ICET S.p.A.
000BC8	AirFlow Networks
000BC9	Electroline Equipment
000BCA	Datavan Tc
000BCB	Fagor Automation
000BCC	Jusan
000BCD	Hewlett Packard
000BCE	Free2move AB
000BCF	Agfa Ndt Inc.
000BD0	XiMeta Technology Americas Inc.
000BD1	Aeronix
000BD2	Remopro Technology Inc.
000BD4	Beijing Wise Technology & Science Development Co.Ltd
000BD5	Nvergence
000BD6	Paxton Access Ltd
000BD7	DORMA Time + Access GmbH
000BD8	Industrial Scientific Corp.
000BD9	General Hydrogen
000BDA	EyeCross Co.
000BDB	Dell Inc.
000BDD	TOHOKU RICOH Co.
000BDE	TELDIX GmbH
000BDF	Shenzhen RouterD Networks Limited
000BE0	SercoNet Ltd.
000BE1	Nokia NET Product Operations
000BE2	Lumenera Corporation
000BE3	Key Stream Co.
000BE4	Hosiden Corporation
000BE5	HIMS International Corporation
000BE6	Datel Electronics
000BE7	Comflux Technology Inc.
000BE9	Actel Corporation
000BEA	Zultys Technologies
000BEB	Systegra AG
000BEC	Nippon Electric Instrument
000BED	ELM Inc.
000BEE	inc.jet
000BEF	Code Corporation
000BF0	MoTEX Products Co.
000BF1	LAP Laser Applikations
000BF2	Chih-Kan Technology Co.
000BF3	Bae Systems
000BF5	Shanghai Sibo Telecom Technology Co.
000BF6	Nitgen Co.
000BF7	Nidek Co.
000BF9	Gemstone Communications
000BFA	Exemys Srl
000BFB	D-NET International Corporation
000BFC	Cisco Systems
000BFD	Cisco Systems
000BFE	CASTEL Broadband Limited
000BFF	Berkeley Camera Engineering
000C00	BEB Industrie-Elektronik AG
000C01	Abatron AG
000C02	ABB Oy
000C03	HDMI Licensing
000C05	RPA Reserch Co.
000C06	Nixvue Systems Pte Ltd
000C07	Iftest AG
000C08	HUMEX Technologies Corp.
000C09	Hitachi IE Systems Co.
000C0A	Guangdong Province Electronic Technology Research Institute
000C0B	Broadbus Technologies
000C0C	Appro Technology Inc.
000C0D	Communications & Power Industries / Satcom Division
000C0E	XtremeSpectrum
000C0F	Techno-One Co.
000C10	PNI Corporation
000C11	Nippon Dempa Co.
000C12	Micro-Optronic-Messtechnik GmbH
000C14	Diagnostic Instruments
000C15	CyberPower Systems
000C16	Concorde Microsystems Inc.
000C17	AJA Video Systems Inc
000C18	Zenisu Keisoku Inc.
000C19	Telio Communications GmbH
000C1A	Quest Technical Solutions Inc.
000C1B	ORACOM Co
000C1C	MicroWeb Co.
000C1D	Mettler & Fuchs AG
000C1E	Global Cache
000C1F	Glimmerglass Networks
000C20	Fi WIn
000C21	Faculty of Science and Technology
000C22	Double D Electronics Ltd
000C23	Beijing Lanchuan Tech. Co.
000C25	Allied Telesis Labs
000C26	Weintek Labs. Inc.
000C27	Sammy Corporation
000C29	VMware
000C2A	OCTTEL Communication Co.
000C2B	ELIAS Technology
000C2C	Enwiser Inc.
000C2D	FullWave Technology Co.
000C2E	Openet information technology(shenzhen) Co.
000C2F	SeorimTechnology Co.
000C30	Cisco Systems
000C31	Cisco Systems
000C32	Avionic Design Development GmbH
000C33	Compucase Enterprise Co. Ltd.
000C34	Vixen Co.
000C35	KaVo Dental GmbH & Co. KG
000C36	Sharp Takaya Electronics Industry Co.
000C37	Geomation
000C38	TelcoBridges Inc.
000C39	Sentinel Wireless Inc.
000C3B	Orion Electric Co.
000C3C	MediaChorus
000C3D	Glsystech Co.
000C3E	Crest Audio
000C3F	Cogent Defence & Security Networks
000C40	Altech Controls
000C41	Cisco-Linksys
000C42	Routerboard.com
000C43	Ralink Technology
000C44	Automated Interfaces
000C45	Animation Technologies Inc.
000C46	Allied Telesyn Inc.
000C47	SK Teletech(R&D Planning Team)
000C48	QoStek Corporation
000C49	Dangaard Telecom Denmark A/S
000C4A	Cygnus Microsystems (P) Limited
000C4B	Cheops Elektronik
000C4C	Arcor AG&Co.
000C4D	Curtiss-Wright Controls Avionics & Electronics
000C4E	Winbest Technology CO
000C4F	UDTech Japan Corporation
000C50	Seagate Technology
000C51	Scientific Technologies Inc.
000C52	Roll Systems Inc.
000C54	Pedestal Networks
000C55	Microlink Communications Inc.
000C56	Megatel Computer (1986) Corp.
000C57	MACKIE Engineering Services Belgium BVBA
000C58	M&S Systems
000C59	Indyme Electronics
000C5A	IBSmm Embedded Electronics Consulting
000C5B	Hanwang Technology Co.
000C5C	GTN Systems B.V.
000C5D	Chic Technology (China) Corp.
000C5E	Calypso Medical
000C5F	Avtec
000C60	ACM Systems
000C61	AC Tech corporation DBA Advanced Digital
000C62	ABB AB
000C63	Zenith Electronics Corporation
000C64	X2 MSA Group
000C65	Sunin Telecom
000C66	Pronto Networks Inc
000C67	Oyo Electric Co.
000C68	SigmaTel
000C69	National Radio Astronomy Observatory
000C6B	Kurz Industrie-Elektronik GmbH
000C6C	Elgato Systems LLC
000C6D	Edwards Ltd.
000C6E	ASUSTek COMPUTER INC.
000C6F	Amtek system co.
000C70	ACC GmbH
000C71	Wybron
000C72	Tempearl Industrial Co.
000C73	Telson Electronics Co.
000C74	Rivertec Corporation
000C75	Oriental integrated electronics. LTD
000C76	Micro-Star International Co.
000C77	Life Racing Ltd
000C78	In-Tech Electronics Limited
000C79	Extel Communications P/L
000C7A	DaTARIUS Technologies GmbH
000C7B	ALPHA PROJECT Co.
000C7C	Internet Information Image Inc.
000C7D	Teikoku Electric Mfg. Co.
000C7E	Tellium Incorporated
000C7F	synertronixx GmbH
000C80	Opelcomm Inc.
000C81	Schneider Electric (Australia)
000C82	Network Technologies Inc
000C83	Logical Solutions
000C84	Eazix
000C85	Cisco Systems
000C86	Cisco Systems
000C88	Apache Micro Peripherals
000C89	AC Electric Vehicles
000C8A	Bose Corporation
000C8B	Connect Tech Inc
000C8C	Kodicom Co.
000C8D	MATRIX VISION GmbH
000C8E	Mentor Engineering Inc
000C8F	Nergal s.r.l.
000C90	Octasic Inc.
000C91	Riverhead Networks Inc.
000C92	WolfVision Gmbh
000C93	Xeline Co.
000C94	United Electronic Industries
000C96	OQO
000C97	NV ADB TTV Technologies SA
000C98	LETEK Communications Inc.
000C99	HITEL LINK Co.
000C9A	Hitech Electronics Corp.
000C9B	EE Solutions
000C9C	Chongho information & communications
000C9D	UbeeAirWalk
000C9E	MemoryLink Corp.
000C9F	NKE Corporation
000CA0	StorCase Technology
000CA1	SIGMACOM Co.
000CA2	Harmonic Video Network
000CA3	Rancho Technology
000CA4	Prompttec Product Management GmbH
000CA5	Naman NZ LTd
000CA6	Mintera Corporation
000CA7	Metro (Suzhou) Technologies Co.
000CA8	Garuda Networks Corporation
000CA9	Ebtron Inc.
000CAA	Cubic Transportation Systems Inc
000CAB	Commend International GmbH
000CAC	Citizen Watch Co.
000CAD	BTU International
000CAE	Ailocom Oy
000CAF	Tri Term Co.
000CB0	Star Semiconductor Corporation
000CB1	Salland Engineering (Europe) BV
000CB2	UNION co.
000CB3	ROUND Co.
000CB4	AutoCell Laboratories
000CB5	Premier Technolgies
000CB6	Nanjing Seu Mobile & Internet Technology Co.
000CB7	Nanjing Huazhuo Electronics Co.
000CB8	Medion Ag
000CBA	Jamex
000CBB	Iskraemeco
000CBD	Interface Masters
000CBE	Innominate Security Technologies AG
000CBF	Holy Stone Ent. Co.
000CC0	Genera Oy
000CC1	Eaton Corporation
000CC2	ControlNet (India) Private Limited
000CC3	BeWAN systems
000CC4	Tiptel AG
000CC5	Nextlink Co.
000CC6	Ka-Ro electronics GmbH
000CC7	Intelligent Computer Solutions Inc.
000CC8	Xytronix Research & Design
000CC9	Ilwoo Data & Technology Co.
000CCA	HGST a Western Digital Company
000CCB	Design Combus Ltd
000CCC	Aeroscout Ltd.
000CCD	Iec - Tc57
000CCE	Cisco Systems
000CCF	Cisco Systems
000CD1	SFOM Technology Corp.
000CD2	Schaffner EMV AG
000CD3	Prettl Elektronik Radeberg GmbH
000CD4	Positron Public Safety Systems inc.
000CD5	Passave Inc.
000CD6	Partner Tech
000CD7	Nallatech Ltd
000CD8	M. K. Juchheim GmbH & Co
000CD9	Itcare Co.
000CDA	FreeHand Systems
000CDB	Brocade Communications Systems
000CDC	BECS Technology
000CDD	AOS technologies AG
000CDE	ABB STOTZ-KONTAKT GmbH
000CDF	PULNiX America
000CE0	Trek Diagnostics Inc.
000CE1	The Open Group
000CE2	Rolls-Royce
000CE3	Option International N.V.
000CE4	NeuroCom International
000CE5	ARRIS Group
000CE6	Meru Networks Inc
000CE7	MediaTek Inc.
000CE8	GuangZhou AnJuBao Co.
000CE9	Bloomberg L.P.
000CEA	aphona Kommunikationssysteme
000CEB	CNMP Networks
000CEC	Spectracom Corp.
000CED	Real Digital Media
000CEE	jp-embedded
000CEF	Open Networks Engineering Ltd
000CF0	M & N GmbH
000CF1	Intel Corporation
000CF2	GAMESA Eólica
000CF3	Call Image Sa
000CF4	Akatsuki Electric Mfg.Co.
000CF5	InfoExpress
000CF6	Sitecom Europe BV
000CF7	Nortel Networks
000CF8	Nortel Networks
000CF9	Xylem Water Solutions
000CFA	Digital Systems Corp
000CFB	Korea Network Systems
000CFC	S2io Technologies Corp
000CFD	Hyundai ImageQuest Co.
000CFE	Grand Electronic Co.
000CFF	Mro-Tek Limited
000D00	Seaway Networks Inc.
000D01	P&E Microcomputer Systems
000D02	NEC Platforms
000D03	Matrics
000D04	Foxboro Eckardt Development GmbH
000D05	cybernet manufacturing inc.
000D06	Compulogic Limited
000D07	Calrec Audio Ltd
000D08	AboveCable
000D09	Yuehua(Zhuhai) Electronic CO. LTD
000D0A	Projectiondesign as
000D0B	Buffalo.Inc
000D0C	MDI Security Systems
000D0D	ITSupported
000D0E	Inqnet Systems
000D0F	Finlux Ltd
000D10	Embedtronics Oy
000D11	DENTSPLY - Gendex
000D12	AXELL Corporation
000D13	Wilhelm Rutenbeck GmbH&Co.KG
000D14	Vtech Innovation LP dba Advanced American Telephones
000D15	Voipac s.r.o.
000D16	UHS Systems Pty Ltd
000D17	Turbo Networks Co.Ltd
000D18	Mega-Trend Electronics CO.
000D19	ROBE Show lighting
000D1A	Mustek System Inc.
000D1B	Kyoto Electronics Manufacturing Co.
000D1C	Amesys Defense
000D1D	High-Tek Harness Ent. Co.
000D1E	Control Techniques
000D1F	AV Digital
000D20	Asahikasei Technosystem Co.
000D21	WISCORE Inc.
000D22	Unitronics LTD
000D23	Smart Solution
000D24	Sentec E&E Co.
000D25	Sanden Corporation
000D26	Primagraphics Limited
000D27	MICROPLEX Printware AG
000D28	Cisco Systems
000D29	Cisco Systems
000D2A	Scanmatic AS
000D2B	Racal Instruments
000D2C	Net2Edge Limited
000D2D	NCT Deutschland GmbH
000D2E	Matsushita Avionics Systems Corporation
000D2F	AIN Comm.Tech.Co.
000D30	IceFyre Semiconductor
000D31	Compellent Technologies
000D32	DispenseSource
000D33	Prediwave Corp.
000D34	Shell International Exploration and Production
000D35	PAC International Ltd
000D36	Wu Han Routon Electronic Co.
000D38	Nissin Inc.
000D39	Network Electronics
000D3A	Microsoft Corp.
000D3B	Microelectronics Technology Inc.
000D3C	i.Tech Dynamic Ltd
000D3D	Hammerhead Systems
000D3E	APLUX Communications Ltd.
000D3F	VTI Instruments Corporation
000D40	Verint Loronix Video Solutions
000D41	Siemens AG ICM MP UC RD IT KLF1
000D42	Newbest Development Limited
000D43	DRS Tactical Systems Inc.
000D44	Audio BU - Logitech
000D45	Tottori SANYO Electric Co.
000D46	Parker SSD Drives
000D48	AEWIN Technologies Co.
